Gender,Religion_ID,Marital_Status,Designation_ID,Status,Employment_Type,Designation,Year_of_Birth,Joined_Date,Joined_Month,Joined_Year,Inactive_Day,Inactive_Month,Inactive_Year,Employment_Category_Labour,Employment_Category_Management,Employment_Category_Staff
1,1,1,24,0,0,Driver,1972,10,10,2018,10.0,6.0,2020.0,0,0,1
1,5,0,65,0,0,Design Engineer,1994,12,11,2018,30.0,6.0,2022.0,0,0,1
1,1,0,86,1,0,QA/QC Engineer,1993,25,2,2019,,,,0,0,1
1,1,0,33,0,0,Site Engineer,1992,10,6,2019,18.0,10.0,2021.0,0,0,1
1,3,1,6,0,0,Project Manager,1962,1,4,2020,12.0,12.0,2020.0,0,0,1
0,1,0,125,1,0,Data Colector,1993,10,7,2020,,,,0,0,1
1,1,1,31,0,0,Unskilled Labor,1958,2,2,2020,15.0,1.0,2021.0,1,0,0
0,1,0,125,1,0,Data Colector,1996,3,7,2020,,,,0,0,1
0,1,0,125,0,0,Data Colector,1993,14,5,2018,4.0,9.0,2020.0,0,0,1
1,1,1,31,0,0,Unskilled Labor,1967,3,2,2020,19.0,12.0,2020.0,1,0,0
0,1,1,22,0,0,Technical Officer,1970,1,1,2020,31.0,7.0,2021.0,0,0,1
1,1,1,24,0,0,Driver,1978,7,2,2020,30.0,8.0,2020.0,0,0,1
1,1,1,22,0,0,Technical Officer,1991,6,2,2020,10.0,5.0,2021.0,0,0,1
1,1,1,124,0,0,Mason,1964,2,3,2020,24.0,6.0,2020.0,1,0,0
1,5,0,27,0,0,Supervisor,1993,18,4,2018,31.0,12.0,2020.0,0,0,1
1,1,0,51,0,0,Helper - JCB,2000,12,11,2018,22.0,3.0,2021.0,0,0,1
1,1,1,80,0,0,Driver - cab,1985,1,1,2019,18.0,7.0,2020.0,0,0,1
1,3,1,33,0,0,Site Engineer,1987,12,6,2019,25.0,2.0,2021.0,0,0,1
1,3,0,36,0,0,Engineer Assistant,1991,24,2,2020,17.0,7.0,2021.0,0,0,1
1,1,1,8,1,0,Quantity Surveyor,1987,7,6,2010,,,,0,0,1
1,1,1,64,0,0,Safety Officer,1976,26,11,2019,15.0,9.0,2020.0,0,0,1
1,1,1,1,0,0,Skilled Labor,1978,1,1,2021,30.0,9.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1971,2,4,2019,2.0,9.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1974,2,4,2019,24.0,3.0,2021.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1984,1,6,2020,28.0,6.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1984,26,12,2020,27.0,2.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,15,12,2020,25.0,2.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1975,7,9,2020,31.0,12.0,2020.0,1,0,0
1,1,0,7,1,0,Store Keeper,1994,1,2,2017,,,,0,0,1
1,1,1,135,1,0,Wacher,1951,1,10,2019,,,,1,0,0
1,1,1,37,0,0,Driver-Tractor,1958,8,12,2019,31.0,8.0,2020.0,1,0,0
1,1,1,43,0,0,Operator - JCB,1978,4,1,2020,24.0,4.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1999,5,2,2020,17.0,3.0,2020.0,1,0,0
1,1,1,102,0,0,Tractor Driver,1963,14,5,2007,28.0,2.0,2020.0,0,0,1
1,1,0,31,1,0,Unskilled Labor,1983,1,1,2019,,,,1,0,0
1,1,1,31,1,0,Unskilled Labor,1983,27,2,2019,,,,1,0,0
1,3,1,123,0,0,Carpenter,1983,1,1,2020,21.0,3.0,2020.0,1,0,0
1,1,1,123,0,0,Carpenter,1983,1,7,2020,30.0,4.0,2022.0,1,0,0
0,1,1,29,1,0,Cook,1983,1,2,2020,,,,1,0,0
1,1,1,30,1,0,Semi Skilled Labor,1967,7,12,2020,,,,1,0,0
1,1,0,38,0,0,Office Assistant,1993,1,6,2020,17.0,5.0,2022.0,1,0,0
1,1,1,134,0,0,Caretaker,1952,1,7,2019,19.0,12.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2003,28,12,2019,19.0,3.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2003,28,12,2019,19.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1993,22,1,2020,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1964,12,2,2020,21.0,7.0,2020.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1983,1,1,2020,31.0,10.0,2021.0,1,0,0
1,1,0,55,0,0,Fitter,1997,28,10,2019,12.0,12.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2001,14,8,2020,22.0,9.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1961,1,6,2020,8.0,6.0,2022.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1999,20,12,2019,9.0,9.0,2020.0,1,0,0
1,4,1,31,0,0,Unskilled Labor,1990,1,1,2019,20.0,3.0,2022.0,1,0,0
1,4,0,31,1,0,Unskilled Labor,2000,11,3,2020,,,,1,0,0
1,3,0,31,0,0,Unskilled Labor,2000,1,1,2019,9.0,1.0,2022.0,1,0,0
1,3,1,31,0,0,Unskilled Labor,1954,1,1,2019,31.0,5.0,2021.0,1,0,0
1,3,1,31,0,0,Unskilled Labor,1983,1,1,2019,7.0,3.0,2020.0,1,0,0
1,4,1,31,0,0,Unskilled Labor,1961,1,1,2019,31.0,5.0,2021.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1996,1,1,2019,6.0,3.0,2020.0,1,0,0
1,4,0,31,0,0,Unskilled Labor,2000,1,2,2019,28.0,2.0,2021.0,1,0,0
1,4,1,31,0,0,Unskilled Labor,1966,1,7,2019,31.0,12.0,2019.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1995,1,6,2019,31.0,7.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1993,15,12,2018,20.0,8.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1968,1,1,2019,31.0,7.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1983,1,9,2019,21.0,9.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1980,1,6,2019,26.0,7.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1992,27,10,2019,21.0,5.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1995,1,2,2021,22.0,4.0,2021.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1999,1,2,2021,22.0,4.0,2021.0,1,0,0
1,3,0,122,1,0,Security,1985,1,6,2020,,,,1,0,0
1,3,1,31,0,0,Unskilled Labor,1978,1,7,2019,9.0,10.0,2022.0,1,0,0
1,3,1,31,0,0,Unskilled Labor,1960,1,7,2019,20.0,8.0,2021.0,1,0,0
1,4,1,31,1,0,Unskilled Labor,1966,1,7,2019,,,,1,0,0
1,4,1,1,0,0,Skilled Labor,1992,1,7,2019,13.0,6.0,2020.0,1,0,0
1,1,1,30,0,0,Semi Skilled Labor,1975,10,12,2020,24.0,12.0,2021.0,1,0,0
1,3,1,122,0,0,Security,1981,1,7,2019,31.0,12.0,2020.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1998,1,8,2019,21.0,8.0,2021.0,1,0,0
1,3,0,30,0,0,Semi Skilled Labor,1998,18,10,2019,31.0,12.0,2020.0,1,0,0
1,3,1,31,0,0,Unskilled Labor,1972,11,2,2020,25.0,12.0,2020.0,1,0,0
1,3,1,31,0,0,Unskilled Labor,1975,13,2,2020,8.0,3.0,2020.0,1,0,0
1,4,0,31,1,0,Unskilled Labor,1996,11,2,2020,,,,1,0,0
1,3,1,30,0,0,Semi Skilled Labor,1983,6,9,2019,18.0,5.0,2020.0,1,0,0
1,3,1,31,1,0,Unskilled Labor,1981,1,6,2020,,,,1,0,0
1,3,1,122,0,0,Security,1983,6,11,2019,31.0,1.0,2022.0,1,0,0
1,3,0,122,0,0,Security,1983,10,2,2020,30.0,6.0,2022.0,1,0,0
1,1,1,55,0,0,Fitter,1970,6,1,2019,19.0,2.0,2022.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1996,13,1,2020,3.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1994,10,6,2020,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1997,21,2,2020,31.0,12.0,2020.0,1,0,0
1,4,1,31,0,0,Unskilled Labor,1983,1,1,2019,31.0,12.0,2020.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1983,2,1,2020,31.0,5.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1983,3,12,2020,21.0,3.0,2022.0,1,0,0
1,1,0,30,0,0,Semi Skilled Labor,1983,1,8,2019,31.0,3.0,2020.0,1,0,0
1,4,1,122,1,0,Security,1973,1,9,2019,,,,1,0,0
1,3,1,30,0,0,Semi Skilled Labor,1982,5,9,2019,31.0,12.0,2020.0,1,0,0
1,4,1,38,0,0,Office Assistant,1987,1,2,2021,30.0,8.0,2022.0,1,0,0
1,3,0,31,0,0,Unskilled Labor,1983,1,12,2019,19.0,5.0,2020.0,1,0,0
1,3,1,122,0,0,Security,1949,25,12,2019,31.0,10.0,2022.0,1,0,0
1,3,0,122,0,0,Security,1995,29,12,2019,31.0,8.0,2022.0,1,0,0
1,1,0,30,0,0,Semi Skilled Labor,1966,11,1,2020,31.0,12.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1966,12,1,2020,31.0,3.0,2020.0,1,0,0
1,1,1,30,0,0,Semi Skilled Labor,1983,26,1,2020,31.0,3.0,2020.0,1,0,0
1,3,0,122,0,0,Security,1983,30,1,2020,24.0,4.0,2021.0,1,0,0
1,4,0,122,0,0,Security,1983,1,2,2020,6.0,7.0,2022.0,1,0,0
1,3,1,122,0,0,Security,1983,1,2,2020,30.0,5.0,2020.0,1,0,0
1,3,0,122,0,0,Security,1983,11,2,2020,30.0,11.0,2021.0,1,0,0
1,3,1,30,0,0,Semi Skilled Labor,1983,13,2,2020,31.0,3.0,2020.0,1,0,0
1,3,0,38,0,0,Office Assistant,1983,15,2,2020,31.0,12.0,2021.0,1,0,0
0,1,1,134,1,0,Caretaker,1983,1,6,2020,,,,1,0,0
1,1,1,31,0,0,Unskilled Labor,1970,24,9,2019,14.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1989,23,9,2019,26.0,7.0,2021.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1992,10,9,2019,26.0,11.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1984,9,9,2019,14.0,3.0,2022.0,1,0,0
1,1,1,29,0,0,Cook,1979,2,9,2019,21.0,3.0,2021.0,1,0,0
1,1,1,135,1,0,Wacher,1963,6,10,2019,,,,1,0,0
1,1,1,135,0,0,Wacher,1960,8,10,2019,22.0,4.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1971,13,12,2019,20.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1977,1,6,2020,1.0,6.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1999,1,3,2021,14.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1980,23,1,2020,14.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1976,28,1,2020,15.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1963,28,1,2020,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1986,28,1,2020,31.0,10.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1980,28,1,2020,14.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1982,28,1,2020,28.0,1.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1968,28,1,2020,29.0,1.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1971,28,1,2020,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,28,1,2020,30.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1986,28,1,2020,15.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1989,19,2,2020,30.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1975,21,2,2020,14.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1985,19,2,2020,2.0,3.0,2022.0,1,0,0
1,1,1,134,0,0,Caretaker,1983,5,2,2020,31.0,3.0,2021.0,1,0,0
1,1,1,30,1,0,Semi Skilled Labor,1984,1,6,2020,,,,1,0,0
1,1,1,31,0,0,Unskilled Labor,1981,1,6,2020,7.0,1.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1984,1,6,2020,30.0,10.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1982,1,6,2020,6.0,4.0,2022.0,1,0,0
1,1,1,7,0,0,Store Keeper,1970,20,2,2014,31.0,8.0,2021.0,0,0,1
1,5,0,33,0,0,Site Engineer,1993,8,5,2018,22.0,6.0,2020.0,0,0,1
1,5,1,22,1,0,Technical Officer,1977,1,2,2019,,,,0,0,1
1,1,1,55,0,0,Fitter,1977,24,8,2020,30.0,9.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1975,2,1,2020,29.0,7.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,1,2019,10.0,9.0,2020.0,1,0,0
1,1,0,1,0,0,Skilled Labor,1996,1,1,2019,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,1,2019,9.0,4.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1977,3,4,2019,9.0,4.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1960,1,1,2019,9.0,4.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,7,2019,6.0,3.0,2020.0,1,0,0
1,1,0,70,0,0,Data Entry Operator,1997,17,2,2020,17.0,8.0,2020.0,0,0,1
0,1,0,2,0,0,Secretary,1993,12,2,2020,31.0,7.0,2022.0,0,0,1
1,1,0,48,1,0,Draughtsman,1994,24,2,2020,,,,0,0,1
1,1,0,88,0,0,Trainee QS,1997,2,3,2020,27.0,4.0,2021.0,0,0,1
1,1,0,48,0,0,Draughtsman,1983,2,3,2020,31.0,8.0,2020.0,0,0,1
1,1,1,6,1,0,Project Manager,1964,24,2,2020,,,,0,0,1
